họ tên,ngày sinh,giới tính,nơi sinh,địa chỉ,email,sđt,tên phụ huynh,sđt phụ huynh,quan hệ,email phụ huynh
Nguyễn Thanh Như,05/04/2007,Nữ,Vĩnh Long,"Số 27, đường 44, Vĩnh Long",hs001@school.edu.vn,0885582861,Lê Thị Linh,0400604502,Mẹ,ph001@gmail.com
Nguyễn Minh Mạnh,23/11/2009,Nam,Bình Dương,"Số 108, đường 15, Bình Dương",hs002@school.edu.vn,0782334538,Võ Quốc Phát,0753778756,Bố,ph002@gmail.com
Hoàng Trọng Bình,13/02/2007,Nam,TP.HCM,"Số 92, đường 23, TP.HCM",hs003@school.edu.vn,0948245888,Võ Công Mạnh,0434031070,Bố,ph003@gmail.com
Hồ Tố Thảo,20/11/2008,Nữ,Huế,"Số 148, đường 13, Huế",hs004@school.edu.vn,0374684276,Trần Thanh Thảo,0549957310,Mẹ,ph004@gmail.com
Hồ Bảo Phương,06/06/2009,Nữ,Huế,"Số 91, đường 14, Huế",hs005@school.edu.vn,0586665249,Lê Tố Như,0562863730,Mẹ,ph005@gmail.com
Hồ Thanh Hải,11/11/2007,Nam,An Giang,"Số 199, đường 4, An Giang",hs006@school.edu.vn,0545938494,Trần Hữu Hải,0371069472,Cha,ph006@gmail.com
Bùi Công Bình,15/11/2008,Nam,Đà Nẵng,"Số 68, đường 9, Đà Nẵng",hs007@school.edu.vn,0564814270,Võ Diễm Hằng,0688690725,Mẹ,ph007@gmail.com
Hoàng Công Dũng,28/01/2007,Nam,TP.HCM,"Số 40, đường 41, TP.HCM",hs008@school.edu.vn,0471779360,Ngô Hữu Thịnh,0939830322,Bố,ph008@gmail.com
Võ Thị Hạnh,04/12/2009,Nữ,Tiền Giang,"Số 138, đường 49, Tiền Giang",hs009@school.edu.vn,0586501362,Bùi Gia Việt,0469820594,Bố,ph009@gmail.com
Võ Quốc Dũng,28/02/2009,Nam,Tiền Giang,"Số 77, đường 41, Tiền Giang",hs010@school.edu.vn,0845098869,Phan Thu Uyên,0473461957,Mẹ,ph010@gmail.com
